Arrondissement,Prefecture,Population,Superficie m²,Superficie ha
Mechouar Casablanca,Mechouar,2645,424453.57,424.45357
arrondissement d'Anfa,Anfa,94504,16358426.71,16358.42671
arrondissement de Hay Hassani,Hay Hassani,468542,41157042.29,41157.04229
arrondissement de Sidi Moumen,Sidi Bernoussi,454779,25885625.99,25885.62599
arrondissement de Moulay Rachid,Moulay Rachid,245484,7124230.63,7124.23063
arrondissement de Sidi Othmane,Moulay Rachid,220047,6282471.38,6282.47138
arrondissement de Ben M'Sick,Ben M'sick,131883,3119146.85,3119.14685
arrondissement de Sbata,Ben M'sick,116255,6741444.58,6741.44458
arrondissement d'Aîn-Chock,Ain Chock,377744,39219404.47,39219.40447
arrondissement d'Al Fida,Al Fida-Mers Sultan,158667,3809749.81,3809.74981
arrondissement de Mers Sultan,Al Fida-Mers Sultan,129759,3722565.39,3722.56539
arrondissement d'Assoukhour Assawda,Ain Sebaa-Hay Mohammadi,115704,7398388.69,7398.38869
arrondissement de Hay Mohammadi,Ain Sebaa-Hay Mohammadi,138760,4187419.78,4187.41978
arrondissement d'Aïn Sebaâ,Ain Sebaa-Hay Mohammadi,171452,15565356.41,15565.35641
arrondissement de Sidi Bernoussi,Sidi Bernoussi,173189,12749744.43,12749.74443
arrondissement d'El Maarif,Anfa,170689,12451075.24,12451.07524
arrondissement de Sidi Belyout,Anfa,189715,9919722.58,9919.72258
